,,STRIKE,OPEN RANGE, HIGH,LOW,CLOSING RANGE,SETT.PRICE & PT.CHGE.,DELTA,EXER CISES,RTH VOLUME,GLOBEX VOLUME,OPEN INTEREST,CONTRACT  (HIGH  LOW)
JUL18,EURO DLR CALL,9712,----,----,----,0.420N,.425+ 0.5,.999,----,----,----,250 UNCH,.400B,UNCH .400B,.430A
JUL18,EURO DLR CALL,9725,----,----,----,0.295N,.300+ 0.5,.997,----,----,----,1980 UNCH,.370B,UNCH .370B,.240A
JUL18,EURO DLR CALL,9737,----,----,----,0.170N,.175+ 0.5,.951,----,----,----,1524 UNCH,.270B,UNCH .270B,.120A
JUL18,EURO DLR CALL,9750,----,----,----,0.052N,.055+ 0.2,.833,----,----,----,39246 UNCH,.190B,UNCH .190B,.030A
JUL18,EURO DLR CALL,9762,----,----,----,0.007N,.007 UNCH,.167,----,2200,----,90627 - 1500,.200B,1500 .200B,.010
JUL18,EURO DLR CALL,9775,----,----,----,0.002N,.002 UNCH,.044,----,----,----,92584 UNCH,.110B,UNCH .110B,.000
JUL18,EURO DLR CALL,9787,----,----,----,----,CAB ----,.002,----,----,----,36546 UNCH,.080B,UNCH .080B,.010
JUL18,EURO DLR CALL,9800,----,----,----,----,CAB ----,.000,----,----,----,47077 UNCH,.040B,UNCH .040B,.000
JUL18,EURO DLR CALL,9812,----,----,----,----,CAB ----,----,----,----,----,45839 UNCH,.010,UNCH .010,.000
JUL18,EURO DLR CALL,9825,----,----,----,----,CAB ----,----,----,----,----,25252 UNCH,.000,UNCH .000,.000
AUG18,EURO DLR CALL,9712,----,----,----,0.420N,.425+ 0.5,.999,3,----,----,247 - 3,.500B,3 .500B,.360A
AUG18,EURO DLR CALL,9737,----,----,----,0.170N,.175+ 0.5,.947,----,----,----,500 UNCH,.310B,UNCH .310B,.120A
AUG18,EURO DLR CALL,9750,----,----,----,0.060N,.065+ 0.5,.721,----,250,----,11526 UNCH,.200B,UNCH .200B,.040A
AUG18,EURO DLR CALL,9762,----,----,----,0.015N,.017+ 0.2,.253,----,250 ----,18337 +,250 .120B .010,,.010
AUG18,EURO DLR CALL,9775,----,----,----,0.005N,.005 UNCH,.076,----,----,----,8220 UNCH,.080B,UNCH .080B,.010A
AUG18,EURO DLR CALL,9787,----,----,----,0.002N,.002 UNCH,.033,----,----,----,1508 UNCH,.040B,UNCH .040B,.000
AUG18,EURO DLR CALL,9800,----,----,----,----,CAB ----,.005,----,----,----,250 UNCH,.010B,UNCH .010B,----
SEP18,EURO DLR CALL,9650,1.045,1.045,1.045,1.045,1.050+ 0.5,1.000,----,41 ----,14760 -,41 1.930B 1.030,,1.030
SEP18,EURO DLR CALL,9675,----,----,----,0.795N,.800+ 0.5,1.000,----,----,----,75 UNCH,1.680B,UNCH 1.680B,.730A
SEP18,EURO DLR CALL,9700,0.550,.550,.550,0.550,.550+ 0.5,1.000,----,33 ----,4968 -,33 1.430B .480A,,.480A
SEP18,EURO DLR CALL,9712,----,----,----,0.420N,.425+ 0.5,.999,----,----,----,2300 UNCH,1.300B,UNCH 1.300B,.360A
SEP18,EURO DLR CALL,9737,0.160,.160,.160,0.160,.177+ 0.5,.946,----,107 ----,20303 -,78 1.050B .130A,,.130A
SEP18,EURO DLR CALL,9750,----,----,----,0.070N,.072+ 0.2,.680,----,600 100,184167 +,500 .930B .060A,,.060A
SEP18,EURO DLR CALL,9762,0.022,.022,.022,0.022,.027+ 0.2,.300,----,26123 7223,249114 +,10881 .810B .020,,.020
SEP18,EURO DLR CALL,9775,----,----,----,0.007N,.010+ 0.2,.118,----,18687 14287,348673 +,3162 .760B .010A,,.010A
SEP18,EURO DLR CALL,9787,----,----,----,0.005N,.005 UNCH,.056,----,750 750,128254 +,500 .630B .010,,.010
SEP18,EURO DLR CALL,9800,----,----,----,0.002N,.002 UNCH,.027,----,----,----,44999 UNCH,.590B,UNCH .590B,.000
SEP18,EURO DLR CALL,9812,----,----,----,----,.002+ 0.2,.006,----,125 125,81855 +,125 .820 .000,,.000
SEP18,EURO DLR CALL,9825,----,CAB,CAB,----,CAB ----,.001,----,86 ----,49150,UNCH .890 .000,,.000
SEP18,EURO DLR CALL,9837,----,----,----,----,CAB ----,.000,----,----,----,49258 UNCH,.570B,UNCH .570B,.000
SEP18,EURO DLR CALL,9850,----,----,----,----,CAB ----,.000,----,----,----,69430 UNCH,.660B,UNCH .660B,.000
SEP18,EURO DLR CALL,9862,----,----,----,----,CAB ----,----,----,----,----,43326 UNCH,.580B,UNCH .580B,.010
SEP18,EURO DLR CALL,9875,----,----,----,----,CAB ----,----,----,----,----,33773 UNCH,.510B,UNCH .510B,.010
SEP18,EURO DLR CALL,9887,----,----,----,----,CAB ----,----,----,----,----,26863 UNCH,.440B,UNCH .440B,.020A
SEP18,EURO DLR CALL,9900,----,----,----,----,CAB ----,----,----,----,----,39536 UNCH,.550B,UNCH .550B,.010
SEP18,EURO DLR CALL,9912,----,----,----,----,CAB ----,----,----,----,----,82458 UNCH,.490B,UNCH .490B,.010
SEP18,EURO DLR CALL,9925,----,----,----,----,CAB ----,----,----,----,----,20293 UNCH,.430B,UNCH .430B,.020
SEP18,EURO DLR CALL,9937,----,----,----,----,CAB ----,----,----,----,----,20965 UNCH,.380B,UNCH .380B,.000
SEP18,EURO DLR CALL,9950,----,----,----,----,CAB ----,----,----,----,----,30140 UNCH,.190B,UNCH .190B,.010A
SEP18,EURO DLR CALL,9962,----,----,----,----,CAB ----,----,----,----,----,60582 UNCH,.160B,UNCH .160B,.010A
SEP18,EURO DLR CALL,9975,----,----,----,----,CAB ----,----,----,----,----,1711 UNCH,.200B,UNCH .200B,.010A
SEP18,EURO DLR CALL,9987,----,----,----,----,CAB ----,----,----,----,----,910 UNCH,.100B,UNCH .100B,.010
SEP18,EURO DLR CALL,10000,----,----,----,----,CAB ----,----,----,----,----,7727 UNCH,.100,UNCH .100,.000
SEP18,EURO DLR CALL,10012,----,----,----,----,CAB ----,----,----,----,----,420 UNCH,.060B,UNCH .060B,.000
OCT18,EURO DLR CALL,9725,----,----,----,0.130N,.142+ 1.2,.767,----,----,----,10500 UNCH,.160B,UNCH .160B,.120A
OCT18,EURO DLR CALL,9737,----,----,----,0.065N,.072+ 0.7,.489,----,1350 100,47831,UNCH .190B .050A,,.050A
